291,Teriberka,-,MET,KOGSR,01.06.2009,,69.202,35.108,25,
292,Ternei,TEY,ТРН,SAGSR,01.02.1982,,45.062,136.601,45,
293,Ternei,TEY.TSU,ТРН,SAGSR,09.10.2011,,45.062,136.601,45,
294,Terskaya,TRKR,TRK,NOGSR,09.08.2005,,43.723,44.732,140,
295,Tiberkul,TBRR,TBR,KRAR,08.06.2004,,53.883,93.744,400,
296,Tigil,TIGL,TIGL,KAGSR,12.08.2012,,57.765,158.671,115,
297,Tiksi,TIXI,TIXI,YAGSR,15.08.1995,,71.649,128.867,50,
298,Tilichiki,TILK,TL1,KAGSR,04.12.2008,,60.446,166.145,25,
299,Toja,TDJR,TDJR,ASGSR,01.03.2001,,52.453,96.093,1000,
300,Tumrok,TUMR,TUM,KAGSR,25.07.2003,,55.283,160.146,1210,
301,Tumrok-istochniki,TUMD,TUMD,KAGSR,18.03.2011,,55.203,160.399,478,
302,Typik,TUP,ТПК,BAGSR,25.11.1961,,54.426,119.954,714,
303,Turan,-,TRN,KRAR,01.04.2006,,52.24,93.711,1014,
304,Tymovskoye,TYV,ТМС,SAGSR,01.04.1969,,50.865,142.675,150,
305,Tymovskoye,TYV.TSU,ТМС,SAGSR,21.09.2010,,50.865,142.675,150,
306,Tynda,TNDR,TND,YAGSR,20.06.2001,,55.147,124.721,530,
307,Tyrgan,TRG,ТРГ,BAGSR,20.01.1960,,52.76,106.347,593,
308,Teeli,TEL,TEL,ASGSR,01.10.1971,,51.024,90.195,992,
309,Tungur,TUNR,TUNR,ASGSR,01.08.1998,,50.163,86.317,864,
310,Uakit,UKT,УКТ,BAGSR,20.12.1962,,55.489,113.627,1140,
311,Uglegorsk,UGL,УГЛ,SAGSR,01.12.1950,,49.077,142.066,31,
312,Uglegorsk,UGL.TSU,УГЛ,SAGSR,12.09.2010,,49.077,142.066,31,
313,Uglovaya,UGLR,UGL,KAGSR,19.08.1992,,53.21,158.829,1200,
314,Uzur,-,UZR,BUGSR,06.07.2011,,53.323,107.741,480,
315,Ulagan,ULGR,ULGR,ASGSR,28.07.2002,,50.623,87.961,1239,
316,Ulan-Ude,UUDB,UUD,BUGSR,18.10.2006,,51.867,107.663,600,
317,Ulyunkhan,YLYR,УЛХ,BAGSR,16.07.1989,,54.875,111.163,582,
318,Uncukul,UNCR,UNC,DAGSR,01.02.1984,,42.716,46.793,780,
319,Uoyan,YOA,УН,BAGSR,21.01.1980,,56.134,111.724,503,
320,Urkarakh,URKR,URK,DAGSR,01.02.1998,,42.165,47.631,1330,
321,Ust-Kan,UKR,UKR,ASGSR,02.09.1963,,50.94,84.769,1057,
322,Ust-Maya2,-,USM,YAGSR,08.04.2006,,60.367,134.458,170,
323,Ust-Nera,UNR,UNR,YAGSR,21.11.1961,,64.566,143.228,485,
324,Ufa,-,BA1R,OBGSR,06.08.2013,,54.589,55.709,114,
325,Firsovo,-,FRSV,SAGSR,01.11.2008,,47.64,142.558,11,
326,Fisht,-,FSTR,OBGSR,07.05.2013,,43.944,39.871,1760,
