47|6|8|LYR|April Lyrids                            | annual |-2|31.7|272.1|33.6|       |       |46.7|25.6|0.923|0.964|213.6|31.7|79.3|1249|0|0|                                        |                                                                                                                                                      |C   |Jenniskens et al., 2018 sub. to PSS
48|7|0|PER|Perseids                                | annual |1|140.19|46.8|57.77|1.38|0.18|59.49|24|0.949|0.96|150.4|139.7|113|     |0|0|109P/Swift-Tuttle                       |                                                                                                                                                      |P   |1) <A href='http://adsabs.harvard.edu/abs/1970BAICz..21..153K' target=_blank>Kresak and Porubcan, 1970</A> 
49|7|1|PER|Perseids                                | annual |1|140.19|48.33|57.96|       |       |59.38|71.4|0.953|       |151.3|140.19|113.22|87|0|0|109P/Swift-Tuttle                       |                                                                                                                                                      |P   |2) Dutch Meteor Society 2001
50|7|2|PER|Perseids                                | annual |1|139.4|47.3|58.2|       |       |59|       |0.948|0.951|150.3|139.4|112.7|33|0|0|109P/Swift-Tuttle                       |                                                                                                                                                      |P   |3) <A href='http://adsabs.harvard.edu/abs/2003MNRAS.344..665J' target=_blank>Jopek et al., 2003</A> 
51|7|3|PER|Perseids                                |2002/06 |1|139.5|46.9|56.9|1.23|0.27|62.1|-6.4|0.963|1.15|155.1|139.8|116.2|361|0|0|109P/Swift-Tuttle                       |                                                                                                                                                      |R   |4) <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A> 
52|7|4|PER|Perseids                                |2007/08 |1|139.2|47.2|57.77|1.17|0.17|58.7|       |       |       |       |       |       |3524|0|0|109P/Swift-Tuttle                       |                                                                                                                                                      |T   |5) <A href='http://adsabs.harvard.edu/abs/2009JIMO...37...55S' target=_blank>SonotaCo, 2009</A> 
53|7|5|PER|Perseids                                |2002/08 |1|140|48|57.2|1.39|0.29|61.4|-9.91|0.956|1.096|153.12|140|115.6|2024|0|0|109P/Swift-Tuttle                       |                                                                                                                                                      |R   |6) <A href='http://adsabs.harvard.edu/abs/2010Icar..207...66B' target=_blank>Brown et al., 2010</A> 
54|7|6|PER|Perseids                                | annual |1|140|48.2|58.1|1.4|0.26|59.1|9.57|0.949|0.95|150.4|139.3|113.1|4367|0|0|109P/Swift-Tuttle                       |                                                                                                                                                      |T   |7) <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank> Jenniskens et al., 2016, Icarus, 266, 331 </A>
55|7|7|PER|Perseids                                | annual |-2|138.1|45.9|57.4|       |       |59.1|25.7|0.944|0.968|149.5|138.1|113|24483|0|0|                                        |                                                                                                                                                      |C   |8) Jenniskens et al., 2018 sub. to PSS
56|8|0|ORI|Orionids                                | annual |1|208.6|95.4|15.9|0.7|0.11|66.2|9.68|0.571|       |82.8|28.6|164.2|     |0|0|1P/Halley                               |                                                                                                                                                      |    |1) <A href='http://adsabs.harvard.edu/abs/2006mspc.book.....J' target=_blank>Jenniskens, 2006</A> 
