# Shower lookup table measured using GMN data up to May 18, 2023
# Using the wmpl.Utils.ShowerTableMeasurement script in WMPL
# 
# The table is sampled at 0.2 deg solar longitude. The SCE (Sun-centered 
# ecliptic) longitude is the ecliptic longitude minus the solar 
# longitude. The "Disp" column is the measured dispersion which changes 
# over time. A meteor is considered a shower member if it has been observed 
# within 1 deg of solar longitude of a table entry, within 10% of Vg, and
# within the listed dispersion.
#
# IAU showers not present in the table:
# XRI, BIN, OSE, NDD, LOP, FSO, DRG, MXA, HNJ, FCL, LAP, NMV, AAC, VOL, ZPH, 
# ILU, EGR, TPG, JDP, ODS, CRN, OEV, TSC, MBA, BEC, AST, ZPA, EVO, NMD, JMD, 
# OAB, SEC, FVI, AGE, ATH, OVI, PPE, FBO, OMH, 
# 
# Sol  SCE lon  SCE lat       Vg  Disp  IAU IAU
# deg      deg      deg     km/s  deg    No  cd
# 
  5.0  295.909   60.216   43.611  5.34   40 ZCY
  5.0  211.017    5.622   40.546  3.40  448 AAL
  5.0  263.027   33.480   61.420  3.75  599 POS
  5.0  176.047   27.055   27.191  2.89  647 BCO
  5.0  265.634   23.772   66.041  4.05  648 TAL
  5.0  205.058   -4.625   38.515  3.59  750 SMV
  5.0  323.674   20.135   49.069  3.00  792 MBE
  5.0  240.288   12.754   63.300  3.46  862 SSR
  5.0  260.980    6.594   70.840  1.50  893 EOP
  5.2  183.418    5.796   25.145  2.96   11 EVI
  5.2  295.917   60.194   43.606  5.34   40 ZCY
  5.2  211.007    5.603   40.557  3.41  448 AAL
  5.2  263.040   33.474   61.419  3.71  599 POS
  5.2  176.012   27.136   27.180  2.91  647 BCO
  5.2  265.631   23.780   66.033  4.05  648 TAL
  5.2  193.417   -3.024   30.926  3.14  651 OAV
  5.2  205.031   -4.620   38.502  3.59  750 SMV
  5.2  323.596   20.150   49.070  3.00  792 MBE
  5.2  240.282   12.747   63.303  3.46  862 SSR
  5.2  260.932    6.594   70.841  1.50  893 EOP
  5.4  183.333    5.812   25.096  2.96   11 EVI
  5.4  295.925   60.173   43.601  5.34   40 ZCY
  5.4  210.998    5.584   40.567  3.43  448 AAL
  5.4  263.052   33.468   61.417  3.68  599 POS
  5.4  175.978   27.216   27.169  2.93  647 BCO
  5.4  265.628   23.788   66.026  4.05  648 TAL
  5.4  193.345   -3.043   30.885  3.14  651 OAV
  5.4  205.005   -4.614   38.490  3.59  750 SMV
  5.4  323.518   20.165   49.071  3.00  792 MBE
  5.4  240.276   12.740   63.306  3.45  862 SSR
  5.4  260.883    6.594   70.842  1.50  893 EOP
  5.6  183.248    5.827   25.047  2.96   11 EVI
  5.6  295.934   60.151   43.595  5.34   40 ZCY
  5.6  210.989    5.565   40.578  3.45  448 AAL
  5.6  263.065   33.463   61.415  3.64  599 POS
  5.6  175.944   27.296   27.158  2.95  647 BCO
  5.6  265.625   23.796   66.018  4.05  648 TAL
  5.6  193.272   -3.062   30.844  3.14  651 OAV
  5.6  204.979   -4.609   38.478  3.59  750 SMV
  5.6  240.270   12.732   63.308  3.45  862 SSR
  5.6  260.835    6.594   70.842  1.50  893 EOP
  5.8  183.163    5.842   24.998  2.96   11 EVI
  5.8  295.942   60.129   43.590  5.34   40 ZCY
  5.8  210.979    5.546   40.589  3.47  448 AAL
  5.8  263.077   33.457   61.414  3.61  599 POS
  5.8  175.909   27.376   27.147  2.97  647 BCO
  5.8  265.622   23.804   66.010  4.05  648 TAL
  5.8  193.199   -3.082   30.802  3.14  651 OAV
  5.8  204.952   -4.604   38.466  3.59  750 SMV
  5.8  240.264   12.725   63.311  3.44  862 SSR
  5.8  260.787    6.594   70.843  1.50  893 EOP
  6.0  183.078    5.857   24.949  2.96   11 EVI
  6.0  295.950   60.108   43.585  5.34   40 ZCY
  6.0  210.970    5.527   40.600  3.48  448 AAL
  6.0  263.090   33.451   61.412  3.57  599 POS
  6.0  175.875   27.456   27.135  2.99  647 BCO
  6.0  265.619   23.812   66.002  4.04  648 TAL
  6.0  193.126   -3.101   30.761  3.14  651 OAV
  6.0  204.926   -4.599   38.454  3.59  750 SMV
  6.0  240.257   12.718   63.314  3.44  862 SSR
  6.0  260.738    6.594   70.844  1.50  893 EOP
  6.2  182.994    5.873   24.900  2.96   11 EVI
  6.2  295.958   60.086   43.580  5.34   40 ZCY
  6.2  210.961    5.508   40.610  3.50  448 AAL
  6.2  263.102   33.446   61.410  3.54  599 POS
  6.2  175.841   27.536   27.124  3.01  647 BCO
  6.2  265.616   23.820   65.994  4.03  648 TAL
  6.2  193.054   -3.121   30.720  3.14  651 OAV
  6.2  204.899   -4.594   38.441  3.59  750 SMV
  6.2  240.251   12.710   63.317  3.44  862 SSR
  6.2  260.690    6.594   70.845  1.50  893 EOP
  6.4  182.909    5.888   24.851  2.96   11 EVI
  6.4  295.967   60.064   43.575  5.34   40 ZCY
  6.4  210.951    5.489   40.621  3.49  448 AAL
  6.4  263.115   33.440   61.409  3.50  599 POS
  6.4  175.807   27.616   27.113  3.03  647 BCO
  6.4  265.613   23.828   65.987  4.03  648 TAL
  6.4  192.981   -3.140   30.679  3.14  651 OAV
  6.4  204.873   -4.589   38.429  3.60  750 SMV
  6.4  240.245   12.703   63.319  3.43  862 SSR
  6.4  260.642    6.594   70.846  1.50  893 EOP
  6.6  182.824    5.903   24.802  2.96   11 EVI
  6.6  295.975   60.043   43.569  5.34   40 ZCY
  6.6  210.942    5.470   40.632  3.47  448 AAL
  6.6  263.127   33.434   61.407  3.53  599 POS
  6.6  175.772   27.696   27.102  3.05  647 BCO
  6.6  265.610   23.836   65.979  4.02  648 TAL
  6.6  192.908   -3.159   30.638  3.14  651 OAV
  6.6  204.846   -4.584   38.417  3.60  750 SMV
  6.6  240.239   12.696   63.322  3.43  862 SSR
  6.6  260.593    6.594   70.846  1.50  893 EOP
  6.8  182.739    5.918   24.753  2.96   11 EVI
  6.8  295.983   60.021   43.564  5.34   40 ZCY
  6.8  210.932    5.451   40.643  3.46  448 AAL
  6.8  263.140   33.429   61.405  3.56  599 POS
  6.8  175.738   27.776   27.091  3.07  647 BCO
  6.8  265.607   23.845   65.971  4.01  648 TAL
  6.8  192.836   -3.179   30.596  3.14  651 OAV
  6.8  204.820   -4.579   38.405  3.60  750 SMV
  6.8  240.233   12.688   63.325  3.42  862 SSR
  6.8  260.545    6.594   70.847  1.50  893 EOP
  7.0  182.654    5.934   24.704  2.96   11 EVI
  7.0  295.992   60.000   43.559  5.34   40 ZCY
  7.0  210.923    5.432   40.653  3.45  448 AAL
  7.0  263.152   33.423   61.404  3.59  599 POS
  7.0  175.704   27.856   27.080  3.09  647 BCO
  7.0  265.604   23.853   65.963  4.01  648 TAL
  7.0  192.763   -3.198   30.555  3.14  651 OAV
  7.0  204.794   -4.574   38.392  3.60  750 SMV
  7.0  240.227   12.681   63.327  3.42  862 SSR
  7.0  260.496    6.594   70.848  1.50  893 EOP
  7.2  296.000   59.978   43.554  5.34   40 ZCY
  7.2  210.914    5.413   40.664  3.43  448 AAL
  7.2  263.165   33.417   61.402  3.62  599 POS
  7.2  175.669   27.936   27.069  3.11  647 BCO
  7.2  265.601   23.861   65.956  4.00  648 TAL
